UniqueCount	AmbigCount
0	12
0	0
1	2273
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
10	41
0	2
3	3
0	9
0	1
0	24
6	2
12	639
2	20
0	33
460	47
0	50
31	223
0	11
15	10
0	12
0	0
0	1
0	0
32	3070
3	90
0	98
0	77
0	72
0	58
47	38
0	0
0	31
0	0
0	0
0	0
0	0
0	1
0	1
0	2
1	8
9	26
0	1
0	2
33	12
0	268
0	184
0	254
1	146
0	174
1	129
7	54
0	182
0	149
14	36
0	96
3	65
11	12
1	29
0	171
11	21
0	0
0	2
0	1
96	721
0	1
0	0
0	3
0	2
0	2
4	1
0	3
0	2
3	38
0	2
0	0
0	3
0	11
0	2
0	2
0	0
0	0
9	18295
20234	96709
109	318392
0	0
39	15055
2	6
12293	63158
23	12146
0	0
0	1
700	2454
0	82
0	6
0	6
0	0
0	1
0	16
0	12
0	13
0	8
0	11
0	8
2	4
0	12
0	11
0	28
0	10
0	12
0	12
0	8
0	7
0	4
8	5
0	6
1	6
0	12
0	0
0	0
0	3
0	3
0	5
0	3
0	3
0	1
0	4
2	49
0	13
3	14
0	0
10	5
0	5
0	0
0	7
0	100
0	109
21	156
10	96
0	245
24	64
0	140
0	174
10	20
0	185
0	138
1	131
1	96
0	41
3	119
0	20
0	5
0	128
0	143
0	109
0	24
0	34
0	21
1	72
1	140
0	124
0	150
0	108
0	37
0	125
0	111
0	36
0	3
0	74
0	34
0	90
1	7
25	6
0	0
0	0
1	30
0	4
0	29
0	2
0	0
0	0
2	0
0	0
1	0
0	0
0	0
0	1
0	1
0	0
0	1
0	1
0	1
0	1
0	1
0	0
0	1
0	0
0	0
0	0
1	0
0	0
455	4637
22	1975
137	4369
2	0
15	1138
40	104
364	116
91	29
40	87
46	1
5	3
0	1
1	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	3
0	2
2	3
0	2
0	254
0	177
136	254
0	0
0	0
5	8550
0	7950
0	7888
0	8488
0	189
12	374
55	219
3	30
25	195
271	2595
0	122
0	8
0	9
0	7
4	8
0	9
2	7
0	7
0	0
0	6
0	6
0	0
0	0
1	392
4	391
2	428
0	414
66	338
0	385
9	396
0	88
2	290
0	143
0	95
0	98
1	46
0	23
1	24
0	30
0	14
2	15
1	3
3	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
0	0
